,Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),State,Commodity Value
0,"Binny Mill (F&V), Bangalore",01/01/2018,684,Apple,5000,6500,5800,Karnataka,17
1,,02/01/2018,541,Apple,5500,6500,6000,Karnataka,17
2,,03/01/2018,237,Apple,5000,6000,5500,Karnataka,17
3,,04/01/2018,298,Apple,6500,7500,7000,Karnataka,17
4,,05/01/2018,226,Apple,5000,7000,6000,Karnataka,17
5,,08/01/2018,413,Apple,5500,7000,6200,Karnataka,17
6,,09/01/2018,252,Apple,6000,7000,6500,Karnataka,17
7,,10/01/2018,188,Apple,5500,6500,6000,Karnataka,17
8,,11/01/2018,232,Apple,6000,7000,6500,Karnataka,17
9,,12/01/2018,207,Apple,6000,7000,6500,Karnataka,17
10,,16/01/2018,101,Apple,5500,6500,6000,Karnataka,17
11,,17/01/2018,71,Apple,6000,7000,6500,Karnataka,17
12,,18/01/2018,114,Apple,5500,6500,6000,Karnataka,17
13,,19/01/2018,266,Apple,6000,7000,6500,Karnataka,17
14,,20/01/2018,290,Apple,5500,6500,6000,Karnataka,17
15,,22/01/2018,375,Apple,5000,7000,6000,Karnataka,17
16,,23/01/2018,375,Apple,5000,7000,6000,Karnataka,17
17,,24/01/2018,259,Apple,6500,7500,7000,Karnataka,17
18,,27/01/2018,208,Apple,6000,7000,6500,Karnataka,17
19,,29/01/2018,390,Apple,6500,7500,7000,Karnataka,17
20,,30/01/2018,357,Apple,6000,7000,6500,Karnataka,17
21,,31/01/2018,206,Apple,5500,7500,6500,Karnataka,17
22,Udupi,03/01/2018,1,Apple,8600,9000,8800,Karnataka,17
23,"Binny Mill (F&V), Bangalore",01/02/2018,123,Apple,6000,7000,6500,Karnataka,17
24,,02/02/2018,276,Apple,2500,4500,3500,Karnataka,17
25,,03/02/2018,142,Apple,6000,7000,6500,Karnataka,17
26,,05/02/2018,421,Apple,5500,7500,6500,Karnataka,17
27,,06/02/2018,246,Apple,5500,7500,6500,Karnataka,17
28,,07/02/2018,136,Apple,6000,8000,7000,Karnataka,17
29,,08/02/2018,209,Apple,5000,7500,6000,Karnataka,17
30,,09/02/2018,219,Apple,6500,8500,7500,Karnataka,17
31,,12/02/2018,485,Apple,6000,8000,7000,Karnataka,17
32,,14/02/2018,259,Apple,6000,8000,7000,Karnataka,17
33,,15/02/2018,221,Apple,7000,8500,7800,Karnataka,17
34,,16/02/2018,210,Apple,7000,9000,8000,Karnataka,17
35,,17/02/2018,179,Apple,6500,8500,7500,Karnataka,17
36,,19/02/2018,351,Apple,6500,8500,7500,Karnataka,17
37,,20/02/2018,199,Apple,7000,9000,8000,Karnataka,17
38,,21/02/2018,152,Apple,7000,9500,8200,Karnataka,17
39,,22/02/2018,391,Apple,7000,9000,8000,Karnataka,17
40,,23/02/2018,308,Apple,6500,8500,7500,Karnataka,17
41,,24/02/2018,295,Apple,7000,9000,8000,Karnataka,17
42,,26/02/2018,539,Apple,7000,9000,8000,Karnataka,17
43,,27/02/2018,263,Apple,7000,9500,8000,Karnataka,17
44,,28/02/2018,167,Apple,8000,10000,9000,Karnataka,17
45,"Binny Mill (F&V), Bangalore",01/03/2018,827,Apple,7500,9500,8500,Karnataka,17
46,,02/03/2018,414,Apple,6000,9000,7500,Karnataka,17
47,,03/03/2018,306,Apple,6000,8500,7500,Karnataka,17
48,,05/03/2018,442,Apple,7000,9000,8000,Karnataka,17
49,,07/03/2018,131,Apple,8000,10000,9000,Karnataka,17
50,,08/03/2018,316,Apple,7000,9000,8000,Karnataka,17
